SrcAddr,DstAddr,SrcMac,DstMac,Sport,Dport,State,Proto,SrcRate,DstRate,class
192.168.0.16,192.168.0.13,48:4b:aa:2c:d8:f9,bc:1c:81:4b:ae:ba,49790,9010,sSEfR,tcp,198.798035,168.21371499999995,0
192.168.0.15,192.168.0.13,f0:18:98:5e:ff:9f,bc:1c:81:4b:ae:ba,52143.0,7004.0,s,tcp,0.0,0.0,7
192.168.0.15,192.168.0.13,f0:18:98:5e:ff:9f,bc:1c:81:4b:ae:ba,52143.0,9415.0,s,tcp,0.0,0.0,7
222.24.23.68,192.168.0.13,88:36:6c:f2:ce:a7,bc:1c:81:4b:ae:ba,3484.0,554.0,s,tcp,0.0,0.0,1
192.168.0.13,210.89.164.90,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,51994.0,8899.0,REQ,udp,172.410049,0.0,5
192.168.0.24,192.168.0.1,04:32:f4:45:17:b3,f0:18:98:5e:ff:9f,,,RSP,arp,0.0,0.50084,6
192.168.0.15,192.168.0.121,f0:18:98:5e:ff:9f,Broadcast,,,INT,arp,5.013218,0.0,9
192.168.0.15,192.168.0.149,f0:18:98:5e:ff:9f,Broadcast,,,INT,arp,0.0,0.0,9
192.168.0.24,192.168.0.21,04:32:f4:45:17:b3,Broadcast,,,INT,arp,1.3021120000000002,0.0,6
192.168.0.15,192.168.0.163,f0:18:98:5e:ff:9f,Broadcast,,,INT,arp,1.634767,0.0,9
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,64783.0,9988.0,REQ,udp,1435.223877,0.0,5
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,6332.0,80.0,R,tcp,0.0,0.0,4
192.168.0.13,210.89.164.90,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,5371.0,80.0,R,tcp,0.0,0.0,4
192.168.0.24,223.39.118.176,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,45638,443,sSEfF,tcp,26.442434,79.327309,0
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,60066.0,8011.0,REQ,udp,32.335636,0.0,5
192.168.0.15,192.168.0.13,f0:18:98:5e:ff:9f,bc:1c:81:4b:ae:ba,55916.0,306.0,s,tcp,0.0,0.0,7
222.179.169.127,192.168.0.13,88:36:6c:f2:ce:a7,bc:1c:81:4b:ae:ba,6005.0,554.0,s,tcp,0.0,0.0,1
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,5097.0,80.0,ER,tcp,0.334599,0.0,4
192.168.0.13,210.89.164.90,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,50250.0,7777.0,E,tcp,0.0,0.0,2
192.168.0.24,163.152.1.1,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,64011,53,CON,udp,0.0,0.0,0
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,3233.0,52330.0,E,tcp,0.0,0.0,2
48:4b:aa:2c:d8:f9,bc:1c:81:4b:ae:ba,bc:1c:81:4b:ae:ba,48:4b:aa:2c:d8:f9,,,INT,unknown,0.0,0.0,0
192.168.0.13,192.168.0.24,bc:1c:81:4b:ae:ba,04:32:f4:45:17:b3,5640.0,23.0,sE,tcp,11.470521000000002,0.0,3
