SrcAddr,DstAddr,Sport,Dport,Proto,State,SrcRate,DstRate
192.168.0.13,192.168.0.16,9020,49784,tcp,CON,250.626968,114.412308
192.168.0.13,192.168.0.16,9020,49668,tcp,RST,0,0
108.177.97.189,192.168.0.14,443,50510,udp,INT,0,0
192.168.0.13,248.250.9.234,169,40795,tcp,RST,0,0
190.12.178.12,192.168.0.16,9088,35229,tcp,CON,0,0
192.168.0.16,248.250.217.197,8207,56838,tcp,RST,0,0
223.39.118.176,192.168.0.23,443,37434,tcp,CON,2.300405,0
223.39.123.194,192.168.0.24,8281,47192,tcp,CON,0,0
108.177.125.188,192.168.0.23,5228,44974,tcp,CON,2.830151,0
192.168.0.14,192.168.0.1,53166,80,tcp,FIN,0,698.555115
192.168.0.24,223.39.118.176,44675,443,tcp,CON,72.087112,94.851456
172.217.25.74,192.168.0.23,443,57316,tcp,FIN,0,0
74.125.203.189,192.168.0.14,443,62988,udp,INT,0,0
192.168.0.13,3.0.230.212,33397,8820,tcp,CON,11.253911,0
192.168.0.13,192.168.0.16,9020,49784,tcp,CON,311.685547,120.23597
192.168.0.13,192.168.0.16,9020,17016,tcp,CON,0,0
48:4b:aa:2c:d8:f9,bc:1c:81:4b:ae:ba,,,unknown,INT,0,0
192.168.0.14,192.168.0.1,53167,80,tcp,FIN,0,741.704102
192.168.0.23,224.0.0.251,5353,5353,udp,INT,107.952499,0
249.250.69.27,71.57.202.3,,,unas,INT,0,0
223.39.118.176,192.168.0.24,443,51846,tcp,FIN,21.296986,21.296986
216.58.197.206,192.168.0.14,443,60605,udp,INT,95.858894,0
123.6.81.60,47.202.126.19,9020,49784,tcp,CON,0,0
192.168.0.16,52.220.136.156,57211,80,tcp,FIN,10.327377,0
223.39.118.176,192.168.0.23,443,37434,tcp,CON,1.328051,0
223.39.123.194,192.168.0.24,8281,47192,tcp,CON,1.500889,1.000593
3.180.169.154,249.250.217.197,,,unas,INT,0,0
192.168.0.16,192.168.0.13,,,tcp,INT,0,0
192.168.0.16,248.250.217.197,57587,6697,tcp,CON,0,0
192.168.0.24,223.39.123.191,35057,443,tcp,CON,96.027374,64.01825
192.168.0.24,223.39.118.176,33782,443,tcp,CON,20.842648,17.053076
192.168.0.24,223.39.118.176,53177,443,tcp,CON,19.704363,16.121752
108.177.97.189,192.168.0.14,443,50510,udp,REQ,8.310936,0
192.168.0.14,192.168.0.1,53168,80,tcp,FIN,0,799.783936
192.168.0.24,223.39.118.176,47527,443,tcp,CON,25.543734,20.899418
192.168.0.13,192.168.0.16,9020,49784,tcp,CON,237.819397,102.703949
163.152.1.1,192.168.0.23,53,34553,udp,INT,0,0
108.177.125.188,192.168.0.23,5228,44974,tcp,CON,19.542957,0
192.168.0.23,23.23.130.219,33156,443,tcp,CLO,0,3.242658
192.168.0.23,223.39.118.176,37438,443,tcp,CLO,0,65.225899
192.168.0.1,224.0.0.1,,,igmp,INT,53.312294,0
192.168.0.13,239.255.255.250,,,igmp,INT,0,0
192.168.0.13,224.0.0.251,,,igmp,INT,0,0
192.168.0.16,224.0.0.251,,,igmp,INT,0,0
192.168.0.24,223.39.118.176,44675,443,tcp,FIN,30.069759,30.069759
192.168.0.13,192.168.0.1,0x0008,0x014d,icmp,ECO,0,0
192.168.0.24,163.152.1.1,37687,53,udp,CON,0,0
192.168.0.24,211.188.147.64,42038,443,tcp,RST,579.505981,288.15213
192.168.0.14,192.168.0.1,53169,80,tcp,FIN,0,839.467957
192.168.0.24,223.39.123.191,35057,443,tcp,FIN,23.505629,23.505629
192.168.0.13,192.168.0.16,9020,49784,tcp,CON,268.316833,104.35659
192.168.0.24,223.39.118.176,38612,443,tcp,CON,46.333542,37.909264
172.217.31.136,192.168.0.23,443,50204,tcp,RST,0,0
108.177.125.188,192.168.0.23,5228,44974,tcp,CON,8.29724,8.29724
223.39.118.176,192.168.0.23,443,37434,tcp,CON,6.98948,1.612957
192.168.0.23,163.152.1.1,59543,53,udp,CON,0,0
192.168.0.23,13.209.102.114,48496,443,tcp,CON,75.950325,75.950325
192.168.0.23,13.209.102.114,48498,443,tcp,CON,55.71838,111.43676
